Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.47543427,6.918180041,6.26423402,4.566640859,4.791125219,6.528137588,5.032925105,4.056926124,6.988250527,6.890905449,6.311952519,4.173555703,10.71689941,10.91745007,15.88595,6.573783712,7.424575511,6.604510399,5.646370927,5.813105793,4.976001825,5.982548471,8.846045757,11.666132,4.801975289,8.200874732,10.70970795,3.213869339,0.157925041,7.982850792,9.789286526,2.437681772,-0.371564187,7.738755179,11.98840988,2.598475865,
Africa Eastern and Southern,AFE,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.04689711,-3.58511111,12.55796015,17.54292893,11.36409374,-1.241506002,7.174387244,9.784495938,14.35168934,12.25254816,17.58393816,12.14117829,,,,,,
Africa Western and Central,AFW,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-84.09500018,-93.51345888,-29.52270655,4.047558877,-72.57850016,-60.78132704,-5.032933217,-33.5534011,1.128485451,36.63763102,17.80088858,2.045114379,12.83731632,-5.723724308,38.97771355,-7.353793454,-9.876356841,8.764706246,12.61080218,12.38052977,21.14418153,-4.922063195,-5.552638283,-5.844003353,0.090918787,8.028656853,-13.98937224,3.27743053,
Albania,ALB,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,3.501953158,1.000309155,1.000584368,0.996284185,1.437570041,-25.46909106,-63.78712048,-42.57351396,-8.963182188,8.801745016,-10.28697484,19.29949431,,19.11028929,15.57541161,15.26170739,11.24647779,8.623874259,8.346054481,9.455505482,10.20876158,9.304741438,8.550524874,10.00074741,7.971036596,9.888462236,9.736112073,9.510397491,6.324557533,7.272492422,7.413723259,4.701068533,4.394812962,4.956504018,5.386769753,2.481512515,-3.057676036,
Andorra,AND,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.56602872,-7.773405236,-6.748195554,-5.485839182,-11.60069877,-1.314708785,-7.006039843,0.455892832,4.564409099,12.10396965,-7.635174216,-11.88381637,-10.07372869,
Armenia,ARM,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.91305774,39.10516828,30.9943494,34.13461159,38.77366744,33.39846306,21.78215208,18.34706928,15.51698759,11.624816,14.31614594,11.38149246,12.69474446,10.43491465,15.87088144,10.60763579,12.91975789,11.28119329,12.21684304,13.78124866,16.18000967,17.04235951,11.99733996,9.733977399,10.95957856,9.63911034,4.54758816,3.457598477,
American Samoa,ASM,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,-0.316966135,6.130422889,7.35309017,3.39698135,3.491387082,1.619777167,-2.661367584,5.793892504,8.843559256,9.788471409,9.992749197,10.66916877,9.590986317,10.05092322,9.013653559,9.973061003,9.876812886,10.41105777,10.45584316,9.993627711,10.61163832,13.80627077,10.26681426,6.63621147,10.44035152,6.463065588,5.794591791,8.080009163,9.387676141,-2.514319061,7.888782033,10.62681426,8.148532639,6.855762617,10.0904449,8.969954354,7.40806267,7.83657472,6.829130405,2.362427634,0.766250065,
Australia,AUS,Real interest rate (%),FR.INR.RINR,,2.206876308,5.57978873,3.276166865,1.727937523,2.265164055,2.620765872,0.483660437,3.257356442,1.070908831,1.687062638,1.961979577,0.783288497,-1.503514178,-6.019131825,-5.338237025,-3.598526355,-1.384568296,1.050909731,0.452319132,-0.03415547,2.107507977,1.416795281,2.050010236,3.37215132,7.390258659,7.932094096,7.527278694,6.441089721,6.619263858,9.672708566,10.0928694,8.970382905,8.473781143,7.986057969,8.022844372,6.832512794,5.819743006,5.485434279,6.06244473,5.037423965,2.113096865,3.424915009,3.521734659,3.698201606,3.306339873,2.375590567,3.057411476,4.148913129,1.021134965,6.057533614,1.445735455,5.078166699,6.353353796,4.482137659,6.236771423,6.116716941,1.538107312,3.319652913,1.582465062,,,,
Austria,AUT,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.01798495,16.95460899,6.367573025,16.76907905,12.62440588,7.942300437,5.920291581,2.009036409,5.895815194,-1.568624267,-6.272592651,47.90105785,6.3007017,-2.885979388,15.02960689,17.6862204,19.39167771,28.94544185,1.485833836,0.318577983,4.691769978,17.56490862,26.53682128,-4.246163591,-16.50947539,
Burundi,BDI,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,-0.451262624,-11.20322551,-3.766860947,19.22924479,5.98831967,5.234921701,-4.450063397,6.596780822,16.98033755,15.96339107,8.221738111,-2.402625005,5.997142468,8.348477598,7.833429517,5.591120353,7.090833434,-0.727268465,,,3.543673658,0.245048218,-16.67919754,2.732903688,18.25203631,5.614402302,4.514521187,-0.3337127,13.83318731,7.915110852,-6.19483254,3.274557502,3.554153982,4.492486953,0.022685619,6.664371597,9.840570485,-4.937060845,13.13730771,3.00359678,18.15767576,13.56590239,5.877798672,4.000870677,-5.543080237,
Belgium,BEL,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.596098155,2.588145618,4.344562975,-1.362331084,2.377428574,4.195490191,1.468030817,-2.46960852,3.836592954,5.599991796,4.266334386,4.580099734,7.329027718,6.052308163,7.114169778,3.557093414,4.557501514,,
Burkina Faso,BFA,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.944070101,5.435521584,2.204376718,-3.82524863,2.511578975,1.285141169,-1.388528991,-0.741639727,7.5780202,5.995918151,7.545939073,2.622405522,5.024211614,5.628913773,5.740202274,-0.01955319,6.421919197,,
Bangladesh,BGD,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,33.79505835,13.86156226,-12.26921967,-2.094867647,-5.988132182,1.1279848,1.16377388,2.439473298,3.020813216,-6.211926915,4.374505694,3.353217679,6.837361623,6.006888297,7.803215576,11.71898735,11.05035713,13.74096927,9.125764688,5.455284559,-5.16455193,8.853321042,7.825648109,8.978643048,8.998203238,9.256955718,8.389699357,5.88445428,5.582355611,5.76426912,5.466993809,5.789111436,4.66174257,6.146538332,4.736123569,5.064197686,5.343332659,5.988693902,6.885866277,5.512644316,-13.64213564,4.27654012,3.634315213,5.689532707,4.289204994,3.076215735,1.972480573,
Bulgaria,BGR,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.068475431,17.05248509,17.26117498,-23.98506942,139.9637125,-69.10635909,-14.83204629,9.852274657,3.690179701,4.705183331,5.160852209,6.217822792,3.115854373,1.938870605,2.000862925,-0.948808156,2.551230889,7.116722757,10.30151966,4.256439509,8.507411744,8.965006357,6.830279083,4.372238319,2.970723163,0.597671214,0.699018813,-0.655694693,0.0734007,-2.817307794,-10.70389758,
Bahrain,BHR,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,31.89907888,6.796161531,5.676506993,4.267214334,3.419726616,11.47487059,15.81804425,14.29430179,3.150137647,10.49670309,12.0998222,11.16094554,20.28486313,8.842683583,-14.14585643,14.54559467,4.827361494,-0.283027354,-2.781093221,-5.199029249,-0.796745563,-0.156120282,-2.821019814,24.06196772,-0.180215876,-2.684533731,2.93184586,5.529618512,7.667328425,15.88629145,,,,,,,,
"Bahamas, The",BHS,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,6.944387122,7.639237248,7.092680989,0.525916094,0.751287393,-5.683085006,7.044690611,4.739740264,7.587918589,1.726529261,4.385243645,2.264504227,7.405764801,7.058839804,3.736699612,6.282836883,4.020735443,8.381728042,4.591386621,5.900219219,5.709560374,-38.37653613,3.591574395,1.356882645,5.030872342,5.626977584,1.961827981,4.789804497,4.748260807,0.462285095,4.633431666,2.47895543,3.952551212,6.604831487,5.915788916,5.972384534,1.43625303,4.931658323,1.053532087,-0.533451774,3.261660646,2.496626177,3.899809269,0.264794735,6.75346584,3.198864421,6.565865391,
Bosnia and Herzegovina,BIH,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.321324798,9.327539854,7.947864517,3.223953257,0.198551998,0.918034767,-0.332619168,7.732691915,6.39214699,4.880421152,6.481564755,7.276478303,5.58529959,4.363562765,3.853482163,2.555420954,0.971534856,0.796048107,3.00786242,-1.582143548,-7.523996422,
Belarus,BLR,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-89.29939146,-85.18832721,-87.85285741,-63.88725835,5.60715851,-23.21565596,-28.08282615,-63.76102548,-41.22954906,-18.14018623,-5.528469047,-5.134717105,-4.700862777,-6.399671286,-1.721871696,-3.807565642,-10.44729536,2.211575773,-1.863419181,-33.59694659,-31.8270994,-1.751616139,0.5390995,1.775587384,5.59252291,0.952995473,-3.070649885,0.411160007,-2.543290175,-4.516671377,-0.71519467,
Belize,BLZ,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,23.19034589,6.358700077,4.708178062,16.69811016,10.06628384,4.161403211,9.478786406,11.48634065,-15.54644284,17.11903314,10.54711353,12.25937252,11.82518452,9.852234461,13.18905292,18.06268027,13.76062975,18.25001055,14.38744973,17.75643266,14.01337381,19.30454241,11.60592932,10.91404379,10.61704866,10.10943806,10.2622897,16.9748059,11.47691866,8.068780911,11.60778565,9.474317624,9.654163423,10.26810719,7.579649228,6.241333927,9.010508065,9.209361688,9.335135352,7.943094459,1.079177613,
Bermuda,BMU,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.39683894,18.95013375,21.28074356,21.97113917,19.93217041,28.54477858,44.40762993,44.11315582,35.53009432,39.77986871,41.95159969,30.22905118,32.18152217,27.94839572,17.85309791,17.32305791,10.65860771,6.022331912,10.07566894,-1.55933383,5.110629663,3.163720043,15.14603743,1.041041528,-3.217178149,3.767191392,4.770029141,7.491198547,13.3088029,9.434724955,1.931420923,4.833259518,9.155986266,9.62509692,3.906454492,2.511807569,
Brazil,BRA,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.40884498,77.61683799,67.06091709,48.5047282,45.63781871,48.34043745,46.44739884,43.77915272,44.63516886,41.24032645,35.02251547,35.3667578,34.79200963,29.11580552,32.83345951,26.58209053,18.49884442,22.40367244,33.83234397,40.69836145,41.71380787,33.10233425,31.90307275,21.19717969,16.72825116,28.7364912,
Barbados,BRB,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,-0.661277886,3.212898421,5.798910952,6.005478356,6.808886214,4.392506287,1.31568767,6.500892202,2.895511442,7.412015518,7.580613714,11.18194813,3.537513467,6.72488138,8.893479767,7.276866409,8.835422975,0.962936975,4.751744844,11.66464362,7.166315766,7.52383813,7.302639709,2.367223972,2.342734993,5.923328689,2.017521801,8.176478433,11.13096924,4.691006147,4.984768276,9.367049812,5.64600412,7.874456107,10.06247263,8.288858725,5.310085053,4.635941496,3.652432063,6.270400942,3.190870897,3.900869151,
Brunei Darussalam,BRN,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.54134755,-5.460847144,-18.2270123,11.74888365,5.106680785,-0.569825438,-8.962385362,-11.17010213,-4.132499442,4.331025432,-6.382603351,35.4151176,-9.588180213,-12.21537999,4.229749245,8.562908315,7.484658302,28.05387732,16.14831697,0.520524538,-3.402310824,9.138890753,18.35814431,-8.63105577,-15.08147173,
Bhutan,BTN,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,7.188979133,7.317805753,4.390113494,7.972486849,7.290693821,13.74744421,0.030555576,8.893352916,8.280794397,5.561450499,7.415044793,7.820734827,3.776064497,7.125327808,7.295509304,2.739536582,4.791248096,9.258469599,8.057557546,9.961572273,10.21726058,11.76074972,10.89152994,8.118035159,8.139015731,10.72966446,7.907932153,8.585369231,7.616463931,5.059151928,4.414795204,7.714809555,6.644196796,10.94929141,9.356456728,2.786646704,12.70294826,10.56367844,8.27509711,5.920372715,7.75570753,
Botswana,BWA,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,-1.556654985,9.721909504,19.78189131,4.257201656,-2.968963509,-9.271153197,-2.683864922,-2.390604784,-12.11416662,-5.263682317,1.481638236,6.327978999,6.902446348,1.637970268,4.06788525,6.776493709,-1.388480721,8.530342197,3.349689855,0.473255878,1.145825237,6.866384475,14.84470101,12.72615936,5.151956536,0.230180569,10.74984513,9.606601366,6.554592168,-1.175676556,3.505910613,-1.467619028,7.75460206,8.5264764,-0.551076777,4.067935712,-4.115021481,9.784192479,6.439120061,5.858510949,1.313488588,-2.861007109,-7.359930234,
Central African Republic,CAF,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,Real interest rate (%),FR.INR.RINR,,3.084345022,4.34478613,3.529872473,2.835855315,1.913344648,0.999173516,1.443921399,2.746474092,2.986001715,11.68404782,1.474988517,0.164379093,-2.076774366,-4.170201382,-1.424414537,1.156647007,1.67026433,2.678083482,2.567258502,3.810891238,7.595054218,6.418826731,5.048162643,8.22548422,7.010893241,7.164049119,4.512987545,6.020026083,8.265166709,10.36280576,6.676640565,5.921223468,4.589299085,5.34161484,6.241247834,4.314937903,3.77105927,6.79236178,4.428447423,2.775239791,4.17315132,2.914163587,1.392510078,0.715785247,1.260735591,3.161082058,2.714042801,0.704688624,4.833121719,-0.237699891,-0.236773176,1.760110339,1.237716691,1.038638973,3.67453345,1.968905239,0.125752237,,,,,,
Central Europe and the Baltics,CEB,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.865523246,2.282844337,2.413050268,2.739346526,2.622941725,2.778422162,3.365102086,3.996447542,3.248908871,3.006367395,1.849004653,2.739664717,3.357509619,1.376511373,0.145920368,
Channel Islands,CHI,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,-1.211433267,4.03791192,5.416926307,-0.414447088,19.56212916,21.55469919,5.918426109,9.259425199,10.860314,5.133201704,5.8012143,12.76720706,11.94194868,19.24062833,10.21196977,9.834873251,7.30156424,4.274612252,1.801028213,-1.773195332,-0.413027487,-3.872201041,3.409024449,12.91047019,3.545972117,-3.768795807,5.587457772,9.223378344,6.846326434,2.121025308,0.534100505,0.982913241,-0.262655301,2.547312161,,,,,
China,CHN,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,1.2416394,2.62034423,7.350672131,5.97409667,2.149559564,-2.07731742,3.105961227,2.700243226,-2.772033113,2.52069312,3.451644667,1.804311854,0.41563512,-3.65137209,-7.989744152,-1.412648192,3.354970476,6.911698896,7.356478441,7.204050346,3.710664083,3.726663881,4.679724347,2.638146639,-1.282811704,1.613277503,2.110577725,-0.259570585,-2.305615343,5.531122907,-1.002401212,-1.402428747,3.58520353,3.755387055,4.522308433,4.353072252,2.901815389,0.112553972,0.821501872,3.024384822,3.838601205,-0.193517051,2.054813319,
Cote d'Ivoire,CIV,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.763991453,3.331830891,1.613289963,-0.368943718,3.724734135,3.543389896,-0.428915663,5.465350419,2.343357493,0.891700761,0.361232955,6.552136669,6.246748203,,,,,,
Cameroon,CMR,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",COD,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.21733254,22.22435169,18.83434227,24.69477027,29.58282582,26.33035023,21.24473863,16.14723359,17.52473816,20.76675035,14.08405653,-15.69024723,-4.771255751,19.68020037,21.22869604,7.227882784,,
"Congo, Rep.",COG,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,COL,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,8.555625925,13.8660468,11.19027451,14.20065914,-5.098230827,15.28657276,11.45805937,8.358405004,14.54666917,19.54132454,20.95820732,14.43888089,23.37814846,14.9195709,-11.13795592,13.33248084,9.775204902,7.823797978,7.270509663,9.36261383,6.697295974,9.67644438,8.821016978,8.594547354,5.372224027,4.542964842,8.655350954,8.90797441,8.442949352,8.785473732,9.032095057,8.134491128,7.15306949,7.467547259,8.248218417,1.551280099,1.285613664,
Comoros,COM,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.423877939,17.22841609,3.102288969,7.515882486,6.394622004,7.362180946,10.65047544,7.16630934,6.71696605,7.131475931,9.421063332,8.679453451,7.233986482,5.974382469,8.597206408,9.584916783,11.08079697,8.63689164,10.05702692,8.508150666,6.036798774,7.3746956,7.81076915,2.73016462,
Cabo Verde,CPV,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.891057434,-6.761807957,6.0515898,8.849125474,10.31796103,6.874906426,9.160677954,8.967572419,11.00511684,8.645325498,7.795759333,8.08633612,7.146958078,8.387679996,7.799794655,7.609466299,0.082877583,
Costa Rica,CRI,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,-32.12862158,-4.40660921,1.118727632,0.308143301,3.175981005,12.41910814,8.287714676,12.07900235,11.81696709,-15.71773785,7.293129409,17.73455851,15.00413623,12.7509363,9.73199507,6.798727782,9.411567169,13.24650876,14.16902249,12.86156663,15.14732856,13.49781682,8.888553213,10.30188948,8.146284032,2.064435163,3.952220954,9.135716346,9.811593129,11.04527389,12.86966436,10.13299571,8.1879176,9.887063288,9.493883465,8.269830326,8.739207219,6.024715568,5.820520183,3.065307094,1.016618065,
Caribbean small states,CSS,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czechia,CZE,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.733442027,0.691074504,3.655582504,2.401228774,4.517211187,2.731316454,5.475807484,5.223885319,2.199587603,3.893738237,4.597017352,1.90146356,5.676333044,4.907460739,2.171131434,4.158557505,3.316317307,7.4188898,5.739586037,3.899227454,3.556650498,2.014426432,3.257929511,2.734581774,2.253349306,0.949658717,-0.195325158,-0.93377177,-0.12163643,-3.981987197,
Germany,DEU,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,DJI,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
